time,station,latitude,longitude,tas,Year
1950-01-01T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,265.66388,1950
1950-01-02T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,265.9687,1950
1950-01-03T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,268.2187,1950
1950-01-04T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,272.1693,1950
1950-01-05T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,266.1712,1950
1950-01-06T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,269.85992,1950
1950-01-07T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,263.1918,1950
1950-01-08T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,260.6541,1950
1950-01-09T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,257.5968,1950
1950-01-10T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,256.04492,1950
1950-01-11T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,261.6696,1950
1950-01-12T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,262.3531,1950
1950-01-13T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,273.107,1950
1950-01-14T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,279.38828,1950
1950-01-15T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,272.22784,1950
1950-01-16T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,273.16064,1950
1950-01-17T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,276.06213,1950
1950-01-18T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,271.60608,1950
1950-01-19T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,260.98517,1950
1950-01-20T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,264.33054,1950
1950-01-21T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,265.03955,1950
1950-01-22T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,264.5097,1950
